,question,Summary,answer
0,"What does the ""yield"" keyword do?","What is the use of the yield keyword in Python? What does it do? For example, I'm trying to understand this code1: def _get_child_candidates(self, distance, min_dist, max_dist): if self._leftchild ...",It's not only about the technical finesse on here but rather who was first sometimes. Which isn't a bad thing :)
1,"What does if __name__ == ""__main__"": do?","What does this do? if __name__ == ""__main__"": print(""Hello world!"")","Just for the record - what is ""main"": docs.python.org/3/reference/… and what is ""name"": docs.python.org/3/reference/…"
2,Does Python have a ternary conditional operator?,"If Python doesn't have a ternary conditional operator, is it possible to use other language constructs to simulate one?","In the Python 3.0 official documentation referenced in a comment above, this is referred to as ""conditional_expressions"" and is very cryptically defined. That documentation doesn't even include the term ""ternary"", so you would be hard-pressed to find it via Google unless you knew exactly what to look for. The version 2 documentation is somewhat more helpful and includes a link to ""PEP 308"", which includes a lot of interesting historical context related to this question."
3,What are metaclasses in Python?,"In Python, what are metaclasses and what do we use them for?",It appears that in Django models.Model it does not use __metaclass__ but rather class Model(metaclass=ModelBase): to reference a ModelBase class which then does the aforementioned metaclass magic. Great post! Here's the Django source: github.com/django/django/blob/master/django/db/models/…
4,How do I check whether a file exists without exceptions?,"How do I check whether a file exists or not, without using the try statement?","To check whether a Path object exists independently of whether is it a file or directory, use my_path.exists()."
5,How do I merge two dictionaries in a single expression (take union of dictionaries)?,"I want to merge two dictionaries into a new dictionary. x = {'a': 1, 'b': 2} y = {'b': 10, 'c': 11} z = merge(x, y) >>> z {'a': 1, 'b': 10, 'c': 11} Using x.update(y) modifies x in-place ...","@MohammadAzim ""strings only"" only applies to keyword argument expansion in callables, not generalized unpacking syntax. To demonstrate that this works: {**{(0, 1):2}} -> {(0, 1): 2}"
6,How do I execute a program or call a system command?,How do I call an external command within Python as if I'd typed it in a shell or command prompt?,"I don't get it, what is wrong with import os; os.system('pip list | grep anatome')? At least that allows you to do piping as my example shows. It's not clear how to do that with import subprocess; subprocess.run([""ls"", ""-l""])."
7,How can I safely create a nested directory?,"What is the most elegant way to check if the directory a file is going to be written to exists, and if not, create the directory using Python? Here is what I tried: import os file_path = ""/my/...","In general you might need to account for the case where there's no directory in the filename. On my machine dirname('foo.txt') gives '', which doesn't exist and causes makedirs() to fail."
8,Accessing the index in 'for' loops,"How do I access the index in a for loop? xs = [8, 23, 45] for x in xs: print(""item #{} = {}"".format(index, x)) Desired output: item #1 = 8 item #2 = 23 item #3 = 45","Note that indexes in python start from 0, so the indexes for your example list are 0 to 4 not 1 to 5"
9,How to make a flat list out of a list of lists?,"I want to flatten this list of lists: [[1, 2, 3], [4, 5, 6], [7], [8, 9]] into: [1, 2, 3, 4, 5, 6, 7, 8, 9]","There's an in-depth discussion of this here: rightfootin.blogspot.com/2006/09/more-on-python-flatten.html, discussing several methods of flattening arbitrarily nested lists of lists. An interesting read!"
